strategy,timeframe,trades,winRate,avgR,profitFactor,tStat,sharpe,sortino,maxDDR,mar,accepted,firstReason
donchian_breakout_4h,4h,269,38.28996282527881,0.09876103438800786,1.1813625791042732,0.8968409899620358,0.3849496806721449,0.7421570575089633,16.080535098574547,0.3043788292435161,false,ETHUSDT: |t|=0.728 <= 3.02 (multiple-testing bar)
lowvol_trend_4h,4h,616,39.935064935064936,0.09152040679074623,1.1711974609421605,1.339532362366739,0.574169518110616,1.0329237667681521,29.406272744029224,0.35223500799475416,false,ETHUSDT: |t|=0.168 <= 3.02 (multiple-testing bar)
ts_momentum_1d,1d,176,44.88636363636363,0.04837647305320663,1.1222119273260922,0.5397121215782658,0.24482632058331405,0.3562437918394998,9.739926283624,0.17988007811339204,false,ETHUSDT: |t|=0.595 <= 3.02 (multiple-testing bar)
bos_continuation_4h,4h,600,42.66666666666667,0.011280192684014199,1.023191630015057,0.24229178418730427,0.10401602089619617,0.13055156724842762,24.29504182125467,0.05134205096053379,false,ETHUSDT: |t|=0.601 <= 3.02 (multiple-testing bar)
vol_squeeze_breakout_4h,4h,136,32.35294117647059,-0.10010833349131029,0.8409100687610876,-0.8546141047385071,-0.37077320836435373,-0.5245133448747422,24.91877849799738,-0.10283926592041351,false,ETHUSDT: expectancy -0.122R <= 0
choch_reversal_4h,4h,775,31.870967741935484,-0.12200166744008319,0.8179112669817564,-2.5003468389469217,-1.071509864966657,-1.4444010306122237,99.26672319976436,-0.17492650424058323,false,ETHUSDT: expectancy -0.076R <= 0
zscore_reversion_1h,1h,3152,41.338832487309645,-0.1675399679789099,0.6533207758791181,-10.535934738567505,-4.4780254562508865,-4.449148605752365,528.4204634809767,-0.1805310806022214,false,ETHUSDT: expectancy -0.155R <= 0
vwap_reversion_1h,1h,12622,52.44018380605292,-0.17906169622840978,0.5828197892088397,-26.090900238680554,-11.085148490974287,-8.859330278606173,2261.5161950670877,-0.18039980741904665,false,ETHUSDT: expectancy -0.166R <= 0
htf_trend_pullback_4h,4h,807,28.624535315985128,-0.22473000219890585,0.6987978164622083,-4.659121537393587,-1.9958047913391548,-2.571286003847565,182.73953224739415,-0.18210846115254029,false,ETHUSDT: expectancy -0.245R <= 0
trend_pullback_1h,1h,3874,27.878162106350025,-0.34018830595644867,0.5541604112499674,-16.975600642091667,-7.213254672824033,-8.256057258863416,1325.3870667983817,-0.17953474145870965,false,ETHUSDT: expectancy -0.322R <= 0
