strategy,timeframe,trades,winRate,avgR,profitFactor,tStat,sharpe,sortino,maxDDR,mar,accepted,firstReason
lowvol_trend_4h,4h,615,40.97560975609756,0.11965244110212067,1.229746702412657,1.7442327798379202,0.7476379987586227,1.3612874457562323,24.89872275683151,0.542992028934635,false,ETHUSDT: |t|=0.619 <= 3.02 (multiple-testing bar)
donchian_breakout_4h,4h,269,37.9182156133829,0.11209386896906916,1.2090073471917497,1.0160373293154579,0.43611214234032836,0.8556562277717439,15.430233095688127,0.3600299922843384,false,ETHUSDT: |t|=0.800 <= 3.02 (multiple-testing bar)
ts_momentum_1d,1d,177,45.76271186440678,0.03962123296208044,1.099546833895014,0.4523438037428908,0.20519396300602272,0.2894772390230543,9.54471194997749,0.15119251569681835,false,ETHUSDT: |t|=0.527 <= 3.02 (multiple-testing bar)
bos_continuation_4h,4h,601,43.427620632279535,0.025506894347227475,1.0535904981949018,0.5510200110106093,0.2365532499244562,0.2981300578512408,22.03320225800038,0.12822642377357246,false,ETHUSDT: |t|=0.829 <= 3.02 (multiple-testing bar)
vol_squeeze_breakout_4h,4h,136,32.35294117647059,-0.08825597100815863,0.8579429778805151,-0.7542212857917309,-0.32721791554710344,-0.46758320838506723,24.046328521403044,-0.09395303357353944,false,ETHUSDT: expectancy -0.112R <= 0
choch_reversal_4h,4h,778,32.390745501285345,-0.09849667130639678,0.8495123739176157,-2.0277772147035615,-0.8689927555908981,-1.1891021820041905,81.59197319167025,-0.17248270284031994,false,ETHUSDT: expectancy -0.061R <= 0
zscore_reversion_1h,1h,3153,43.54582936885506,-0.12363121796557447,0.7296402321831318,-7.794186583661124,-3.312716602603889,-3.34850109263249,392.88379666859976,-0.17923176145013286,false,ETHUSDT: expectancy -0.116R <= 0
vwap_reversion_1h,1h,12463,55.564470833667656,-0.13071578964797903,0.6751142374194656,-19.036514630706808,-8.087976631758458,-6.5113139742205535,1630.6454874178085,-0.18034163161325523,false,ETHUSDT: expectancy -0.125R <= 0
htf_trend_pullback_4h,4h,805,29.93788819875776,-0.16787169785969178,0.7625111514054524,-3.498768200185014,-1.4987499857367284,-2.0028517874203717,136.53016963423428,-0.181623807631645,false,ETHUSDT: expectancy -0.193R <= 0
trend_pullback_1h,1h,3864,29.891304347826086,-0.24096081726977722,0.6523455124818273,-12.142644030254473,-5.159639746383647,-6.302570202400754,945.0845847589894,-0.17787917145732773,false,ETHUSDT: expectancy -0.236R <= 0
